FIP Question,DCS Field,maDMP Value,Allowed Values,Compliant
"What globally unique, persistent, resolvable identifiers do you use for metadata records?",dataset.dataset_id.identifier,"[""https://doi.org/10.5281/zenodo.10669877""]",DOI,[Yes]
"What globally unique, persistent, resolvable identifiers do you use for datasets?",dataset.dataset_id.identifier,"[""https://doi.org/10.5281/zenodo.10669877""]","DOI, URI ",[Yes]
Which metadata schemas do you use for findability?,dataset.metadata.metadata_standard_id.identifier,null,EML,No
What is the technology that links the persistent identifiers of your data to the metadata description?,dataset.distribution.host.pid_system,"[[""doi""]]",DataCite,[No]
In which search engines are your metadata records indexed?,dataset.distribution.access_url,"[""https://zenodo.org/record/10669877"", ""https://globalbioticinteractions.org/worldfair/""]","Global Biotic Interactions, GBIF search engine","[No, Yes]"
In which search engines are your datasets indexed?,dataset.distribution.access_url,"[""https://zenodo.org/record/10669877"", ""https://globalbioticinteractions.org/worldfair/""]","GBIF search engine, Global Biotic Interactions","[No, Yes]"
Which standardized communication protocol do you use for metadata records?,dataset.distribution.host.url,"[""https://zenodo.org"", ""https://globalbioticinteractions.org""]","HTTPS, REST","[Yes, Yes]"
Which standardized communication protocol do you use for datasets?,dataset.distribution.host.url,"[""https://zenodo.org"", ""https://globalbioticinteractions.org""]","HTTPS, REST","[Yes, Yes]"
Which authentication & authorisation technique do you use for metadata records?,dataset.distribution.data_access,null,"OAuth, Open Data",No
Which authentication & authorisation technique do you use for datasets?,dataset.distribution.data_access,null,"GBIF local account, OAuth, Open Data",No
Which metadata longevity plan do you use?,,null,,No choice made by community
Which knowledge representation languages (allowing machine interoperation) do you use for metadata records?,,null,"DwC-A, XMLS, RDFS, JSON",No
Which knowledge representation languages (allowing machine interoperation) do you use for datasets?,,null,"JSON, DwC-A, RDFS, XMLS",No
Which structured vocabularies do you use to annotate your metadata records?,dataset.metadata.metadata_standard_id.identifier,null,"EML, Darwin Core",No
Which structured vocabularies do you use to encode your datasets?,dataset.metadata.metadata_standard_id.identifier,null,"Plant Pollinator Vocabulary, Darwin Core",No
"Which models, schema(s) do you use for your metadata records?",dataset.metadata.metadata_standard_id.type,null,"Darwin Core, Relations Ontology",No
"Which models, schema(s) do you use for your datasets?",dataset.metadata.metadata_standard_id.type,null,DwC-A,No
Which usage license do you use for your metadata records?,dataset.distribution.license.license_ref,"[""https://creativecommons.org/licenses/by/4.0/""]","CC BY 4.0, CC0 1.0, CC BY-NC 4.0 ",[Yes]
Which usage license do you use for your datasets?,dataset.distribution.license.license_ref,"[""https://creativecommons.org/licenses/by/4.0/""]","CC BY 4.0, CC0 1.0, CC BY-NC 4.0 ",[Yes]
Which metadata schemas do you use for describing the provenance of your metadata records?,dataset.data_quality_assurance,"[[""Species identifications confirmed by taxonomists"", ""Data curated by REBIPP team"", ""FAIRfication followed WorldFAIR D10.2 guidelines""]]",PROV-O,[No]
Which metadata schemas do you use for describing the provenance of your datasets?,dataset.data_quality_assurance,"[[""Species identifications confirmed by taxonomists"", ""Data curated by REBIPP team"", ""FAIRfication followed WorldFAIR D10.2 guidelines""]]",PROV-O,[No]
