FIP Question,DCS Field,maDMP Value,Allowed Values,Compliant
"What globally unique, persistent, resolvable identifiers do you use for metadata records?",dataset.dataset_id.identifier,"[""07ad7b29-bd1c-429b-8a92-b3abbda7d727"", ""0e8f1d49-2a74-45f0-8ce8-39c11adbfab9"", ""22f69f0f-414b-4dff-903b-b6bc9d7c7fb5"", ""230996eb-68be-4cef-9a21-54bfb2c52ed1"", ""24a20d6c-4cac-4492-942c-5e20c4b32b14"", ""4325d304-c990-4e76-b07c-245f71580624"", ""65a605df-3e7a-40ed-8131-413e715f293c"", ""6c4bdd96-a940-43e6-9528-44d4a8d62182"", ""72466057-bbf1-47fc-826e-a3d17803d8ef"", ""73bc8061-0bf2-4d0a-adc8-4aee3118cd77"", ""73d994c4-2505-4fda-a55b-81dd61834665"", ""770cc4f5-5be1-4d71-b73a-f2c8f83d1cdb"", ""784a1c69-7aa9-4e5d-8db1-acf6c9bd18fc"", ""8b3b8259-2c2e-4fdf-acb2-249b7d4d2075"", ""9f968296-f03f-49d5-b72b-19cc88ad2ecc"", ""b282755a-f728-4d0a-8cfb-34ee038c708d"", ""bbd5ebc2-eb87-4258-bdfe-e0090900b88f"", ""bed1fe22-15d5-4677-8409-21e8ca87871e"", ""c783953a-c320-424d-bca9-571cfd99990c"", ""d1ef92e1-1329-4293-b46b-11343f5b66c4"", ""d7834def-5a5e-4123-b6da-80cfc43e415c"", ""e620050e-f221-4938-99b4-7e222770bcb0"", ""ecd608fd-7eeb-43eb-bbb4-bedb76e2c956"", ""ee863789-3305-45f1-bbd0-a9365617009e"", ""f2c3e8cb-baca-4855-b9d3-4ae36574717b"", ""ff6573a7-1833-425e-ac3f-3f7a227d0be1""]",DOI,"[No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No]"
"What globally unique, persistent, resolvable identifiers do you use for datasets?",dataset.dataset_id.identifier,"[""07ad7b29-bd1c-429b-8a92-b3abbda7d727"", ""0e8f1d49-2a74-45f0-8ce8-39c11adbfab9"", ""22f69f0f-414b-4dff-903b-b6bc9d7c7fb5"", ""230996eb-68be-4cef-9a21-54bfb2c52ed1"", ""24a20d6c-4cac-4492-942c-5e20c4b32b14"", ""4325d304-c990-4e76-b07c-245f71580624"", ""65a605df-3e7a-40ed-8131-413e715f293c"", ""6c4bdd96-a940-43e6-9528-44d4a8d62182"", ""72466057-bbf1-47fc-826e-a3d17803d8ef"", ""73bc8061-0bf2-4d0a-adc8-4aee3118cd77"", ""73d994c4-2505-4fda-a55b-81dd61834665"", ""770cc4f5-5be1-4d71-b73a-f2c8f83d1cdb"", ""784a1c69-7aa9-4e5d-8db1-acf6c9bd18fc"", ""8b3b8259-2c2e-4fdf-acb2-249b7d4d2075"", ""9f968296-f03f-49d5-b72b-19cc88ad2ecc"", ""b282755a-f728-4d0a-8cfb-34ee038c708d"", ""bbd5ebc2-eb87-4258-bdfe-e0090900b88f"", ""bed1fe22-15d5-4677-8409-21e8ca87871e"", ""c783953a-c320-424d-bca9-571cfd99990c"", ""d1ef92e1-1329-4293-b46b-11343f5b66c4"", ""d7834def-5a5e-4123-b6da-80cfc43e415c"", ""e620050e-f221-4938-99b4-7e222770bcb0"", ""ecd608fd-7eeb-43eb-bbb4-bedb76e2c956"", ""ee863789-3305-45f1-bbd0-a9365617009e"", ""f2c3e8cb-baca-4855-b9d3-4ae36574717b"", ""ff6573a7-1833-425e-ac3f-3f7a227d0be1""]",,No choice made by community
Which metadata schemas do you use for findability?,dataset.metadata.metadata_standard_id.identifier,null,RO-Crate ,No
What is the technology that links the persistent identifiers of your data to the metadata description?,dataset.distribution.host.pid_system,"[[""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""], [""doi""]]",RO-Crate ,"[No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No]"
In which search engines are your metadata records indexed?,dataset.distribution.access_url,null,Research Object Hub (ROHub),No
In which search engines are your datasets indexed?,dataset.distribution.access_url,null,,No choice made by community
Which standardized communication protocol do you use for metadata records?,dataset.distribution.host.url,"[""https://doi.org/10.5281/zenodo.15148054"", ""https://doi.org/10.5281/zenodo.15684541"", ""https://zenodo.org/records/13839879"", ""https://zenodo.org"", ""https://zenodo.org/records/12648253"", ""https://doi/10.5281/zenodo.10072816"", ""https://zenodo.org"", ""https://zenodo.org"", ""https://zenodo.org/records/13840850"", ""https://zenodo.org/records/10044337"", ""https://zenodo.org/records/12801799"", ""https://doi.org/10.5281/zenodo.10640622"", ""https://zenodo.org/records/13840914"", ""https://zenodo.org"", ""https://zenodo.org/records/12648186"", ""https://zenodo.org"", ""https://zenodo.org/records/13840887"", ""https://zenodo.org/records/11622856"", ""https://zenodo.org"", ""https://zenodo.org/records/15586337"", ""https://zenodo.org/records/13840901""]",HTTPS,"[Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes]"
Which standardized communication protocol do you use for datasets?,dataset.distribution.host.url,"[""https://doi.org/10.5281/zenodo.15148054"", ""https://doi.org/10.5281/zenodo.15684541"", ""https://zenodo.org/records/13839879"", ""https://zenodo.org"", ""https://zenodo.org/records/12648253"", ""https://doi/10.5281/zenodo.10072816"", ""https://zenodo.org"", ""https://zenodo.org"", ""https://zenodo.org/records/13840850"", ""https://zenodo.org/records/10044337"", ""https://zenodo.org/records/12801799"", ""https://doi.org/10.5281/zenodo.10640622"", ""https://zenodo.org/records/13840914"", ""https://zenodo.org"", ""https://zenodo.org/records/12648186"", ""https://zenodo.org"", ""https://zenodo.org/records/13840887"", ""https://zenodo.org/records/11622856"", ""https://zenodo.org"", ""https://zenodo.org/records/15586337"", ""https://zenodo.org/records/13840901""]",,No choice made by community
Which authentication & authorisation technique do you use for metadata records?,dataset.distribution.data_access,"[""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open""]",Open Data,"[No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No]"
Which authentication & authorisation technique do you use for datasets?,dataset.distribution.data_access,"[""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open"", ""open""]",,No choice made by community
